ID,FMZ,Name,Phos,pH,Calc,Ecozone,Species,Fishery
15-6832-53585,6,Titmarsh L.,5.4,7.2,4.139,Ontario Shield,9,Walleye
15-6832-55663,4,Fog L.,6.5,6.629,2.839,Ontario Shield,7,NA
15-6881-55875,4,Silver L.,8.199,7.03,6.259,Ontario Shield,8,Walleye
15-6889-55829,4,Smye L.,10,6.28,2.359,Ontario Shield,13,Walleye
15-6890-55500,4,Seseganaga L.,5.9,6.73,3.08,Ontario Shield,9,Walleye
15-6895-56512,4,Pashkokogan L.,8.9,7.139,7.099,Ontario Shield,13,Walleye
15-6904-53837,6,Greenwater L.,5.4,7.519,9.679,Ontario Shield,14,Lake Trout
15-6908-56374,4,McCrea L.,7.4,7.049,6.719,Ontario Shield,19,Walleye
15-6913-53983,6,Kashabowie L.,7.799,7.259,4.36,Ontario Shield,12,Walleye
15-6979-55108,6,Empire L.,7.599,6.95,3.58,Ontario Shield,17,Walleye
15-6981-54703,6,Pakashkan L.,9.5,7.58,8.679,Ontario Shield,17,Walleye
15-6988-53913,6,Shebandowan L.s,7.4,7.455,6.62,Ontario Shield,17,Walleye
15-7008-55644,6,Kawaweogama L.,7.4,6.98,2.919,Ontario Shield,17,NA
15-7012-54867,6,Weaver L.,12.1,7.16,4.54,Ontario Shield,8,NA
15-7020-53669,6,Blunder L.,14.6,6.919,3.58,Ontario Shield,8,Walleye
15-7025-53379,6,Arrow L.,4.599,7.459,7.599,Ontario Shield,19,Lake Trout
15-7031-55216,6,Sparkling L.,9.3,6.809,2.7,Ontario Shield,17,Walleye
15-7043-56488,4,Greenbush L.,7.5,7.269,8,Ontario Shield,7,Walleye
15-7048-55476,6,Wapikaimaski L.,7.799,7.009,3.62,Ontario Shield,22,NA
15-7050-54058,6,Athelstane L.,9,7.44,6.44,Ontario Shield,14,NA
15-7053-53459,6,Sandstone L.,9.099,7.589,12.199,Ontario Shield,14,Walleye
15-7071-54348,6,Upper Kaogomok L.,15.9,7.44,7.08,Ontario Shield,6,NA
15-7091-53688,6,Batwing L.,8.699,7.129,4.4,Ontario Shield,11,Walleye
15-7111-54802,6,Holly L.,7.7,7.23,3.399,Ontario Shield,9,Walleye
15-7163-54881,6,Kearns L.,19.899,7.429,6.04,Ontario Shield,14,Walleye
16-2773-53446,6,Whitefish L.,13.5,7.95,20.899,Ontario Shield,5,Walleye
16-2863-55212,6,Kashishibog L.,8.3,6.9,2.74,Ontario Shield,8,NA
16-2880-54647,6,Hine L.,8.599,7.339,5.599,Ontario Shield,3,NA
16-2901-53647,6,Marks L.,14,7.37,7.96,Ontario Shield,16,Brook Trout
16-2934-56630,4,Frain L.,9.9,7.299,7.459,Ontario Shield,6,NA
16-3069-55034,6,Holinshead L.,17.899,7.139,4.139,Ontario Shield,13,Walleye
16-3103-54530,6,"des Iles, La.",18.399,7.5,5.78,Ontario Shield,9,Lake Trout
16-3132-54041,6,Dog L.,8.699,7.45,7.639,Ontario Shield,12,Walleye
16-3207-54488,6,Jolly L.,12.4,7.459,7.86,Ontario Shield,9,Walleye
16-3237-55525,6,Maggotte L.,10.699,6.53,2.1,Ontario Shield,11,Walleye
16-3346-55390,6,Obonga L.,5.2,7.25,5.219,Ontario Shield,15,Walleye
16-3483-54344,6,Walotka L.,4.7,7.23,4.099,Ontario Shield,13,Lake Trout
16-3488-53829,6,Penassen L.s,11.3,7.049,3.5,Ontario Shield,10,Brook Trout
16-3500-55543,6,Waweig L.,5.9,7.41,7.759,Ontario Shield,19,Lake Trout
16-3534-54692,6,Circle L.,12.8,7.509,8.859,Ontario Shield,12,Walleye
16-3557-55322,6,Cry L.,4.799,7.509,9.439,Ontario Shield,15,Lake Trout
16-3593-54568,6,Muskrat L.,14.1,7.379,7.099,Ontario Shield,12,NA
16-3610-55699,6,Randolph L.,6.599,7.379,11.199,Ontario Shield,10,Brook Trout
16-3634-54687,6,Black Sturgeon L.,7.2,7.66,11.9,Ontario Shield,3,Walleye
16-3634-54687,6,Black Sturgeon L.,7.2,7.66,11.9,Ontario Shield,19,Walleye
16-3663-55543,6,Castle L.,7.599,7.58,9.46,Ontario Shield,17,NA
16-3680-53921,6,Nalla L.,4.7,7.259,3.399,Ontario Shield,8,Brook Trout
16-3700-54335,6,Cliff L.,4.299,7.719,12.8,Ontario Shield,7,Lake Trout
16-3706-53956,6,Bisect L.,5.599,7.15,3.48,Ontario Shield,6,Brook Trout
16-3723-53954,6,Upper Hunters L.,10,6.879,2.12,Ontario Shield,6,Brook Trout
16-3744-54268,6,Unknown L.,5.799,7.429,4.559,Ontario Shield,10,Brook Trout
16-3884-54562,6,Frazer L.,7,7.61,9.24,Ontario Shield,9,Walleye
16-3964-54451,6,Purdom L.,11.6,7.4,6.879,Ontario Shield,9,Brook Trout
16-4000-54670,6,Oskawe L.,9.5,7.62,9.46,Ontario Shield,12,NA
16-4080-53975,6,Lost L.,11.4,7.4,7,Ontario Shield,9,Brook Trout
16-4332-55499,6,Weewullee L.,7.599,8.16,38.7,Ontario Shield,5,Brook Trout
16-4348-54546,7,Kilgour L.,4,6.849,3.919,Ontario Shield,2,Lake Trout
16-4420-54651,7,Barbara L.,2.5,7.269,7.179,Ontario Shield,10,Lake Trout
16-4433-55531,6,Elbow L.,14.9,7.679,19.5,Ontario Shield,11,Walleye
16-4450-54254,7,Buckaday L.,7.299,6.339,2.359,Ontario Shield,2,Brook Trout
16-4457-54868,7,Bigamy L.,11.8,7.07,9.359,Ontario Shield,NA,Brook Trout
16-4548-54782,7,Parks L.,4.4,7.169,8.259,Ontario Shield,6,Walleye
16-4566-55070,6,Beatty L.,7.4,8.08,37.5,Ontario Shield,13,Lake Trout
16-4636-55195,7,Dilla L.,9.9,7.599,20.199,Ontario Shield,8,Walleye
16-4688-55390,7,Onaman L.,10.5,7.139,8.56,Ontario Shield,NA,Walleye
16-4747-54847,7,South Beatty L.,7.599,7.62,20.899,Ontario Shield,2,Walleye
16-4793-54217,7,Louise L.,5.5,6.519,3.399,Ontario Shield,NA,Brook Trout
16-4802-54759,7,Wintering L.,6.2,7.95,26.1,Ontario Shield,10,Walleye
16-4824-54701,7,Wig L.,7.899,7.669,24.5,Ontario Shield,7,Walleye
16-4869-54848,7,Gamsby L.,6.799,7.87,25.399,Ontario Shield,4,NA
16-4881-55533,7,Cavell L.,6.599,7.21,11.3,Ontario Shield,NA,Brook Trout
16-4882-55089,7,Wildgoose L.,7.099,7.9,28.1,Ontario Shield,8,Walleye
16-4995-54471,7,Catlonite L.,5.599,7.349,7.74,Ontario Shield,5,Brook Trout
16-5024-55448,7,Springwater L.,10.9,7.74,26.199,Ontario Shield,7,Walleye
16-5042-54260,7,Cairngorm L.,4.099,6.629,2.64,Ontario Shield,4,Lake Trout
16-5079-54800,7,Long L.,14.3,7.849,24,Ontario Shield,26,"Lake Trout, Walleye"
16-5087-55041,7,Kenogamisis L.,13,7.839,23.399,Ontario Shield,15,Walleye
16-5188-55331,7,Burrows L.,8.399,7.719,25.699,Ontario Shield,11,Walleye
16-5311-54861,7,Y L.,5.5,7.96,22.399,Ontario Shield,NA,Brook Trout
16-5341-54366,7,Killala L.,5.4,7.839,18.1,Ontario Shield,13,Lake Trout
16-5406-54956,7,McKay L.,7.099,8.039,26.899,Ontario Shield,8,Lake Trout
16-5412-54570,7,Kagiano L.,6.799,7.429,19,Ontario Shield,3,Walleye
16-5538-55350,7,Chipman L.,8.699,7.61,24.8,Ontario Shield,3,Walleye
16-5657-55074,7,Pagwachuan L.,5.299,8.06,31.8,Ontario Shield,8,Lake Trout
16-5680-55298,7,Fernow L.,9.099,7.75,32.5,Ontario Shield,15,Lake Trout
16-5774-55353,7,Shacabac L.,9.4,6.98,9.419,Ontario Shield,6,Walleye
16-5818-55170,7,Klotz L.,8.199,7.94,29,Ontario Shield,12,Walleye
16-6003-54025,7,White L.,9.3,7.69,21.8,Ontario Shield,10,"Lake Trout, Walleye"
16-6052-53171,7,Jackfish L.,4.7,5.759,1.22,Ontario Shield,4,Brook Trout
16-6053-54810,7,White Otter L.,7.599,7.71,28,Ontario Shield,8,Walleye
16-6094-53522,7,Partridge L.,6,7.04,3.6,Ontario Shield,NA,Brook Trout
16-6121-53610,7,North McCrea L.,5.2,7.089,5.2,Ontario Shield,6,Brook Trout
16-6192-53335,7,Ellen L.,5.799,6.629,3.839,Ontario Shield,7,Lake Trout
16-6225-54072,7,Kwinkwaga L.,7.599,7.679,22.399,Ontario Shield,10,Walleye
16-6348-54346,7,Tocheri L.,35,7.549,18.6,Ontario Shield,4,Walleye
16-6393-54219,7,Matthews L.,8.699,7.95,20.399,Ontario Shield,7,Walleye
16-6398-54390,7,Shekak L.,8.699,7.769,23.3,Ontario Shield,6,Walleye
16-6420-54760,7,Nagagami L.,8,7.69,24.699,Ontario Shield,6,Walleye
16-6439-54864,7,Hiawatha L.,6.9,7.599,22.5,Ontario Shield,6,Walleye
16-6447-54048,7,Dayohessarah L.,6.4,7.83,25.3,Ontario Shield,15,Lake Trout
16-6450-53469,7,West Kabenung L.,5.2,6.95,6.16,Ontario Shield,NA,Walleye
16-6497-54012,7,Strickland L.,4.599,7.32,7.82,Ontario Shield,9,Lake Trout
